"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SENP7",542.835015895881,-0.791695163029694,0.222310462145712,-3.56121414794587,0.0003691438489038,0.0245780702550924
"CCDC65",395.769568406506,1.07258598500759,0.301141425946931,3.56173509385124,0.00036841201064714,0.0245780702550924
"DGKE",361.613448958773,0.792821949697228,0.222919969509054,3.55653175192556,0.000375783080248113,0.0247535897565314
"PDLIM1",937.935412368936,-0.889865143431027,0.250110118232427,-3.5578934179867,0.00037384093505012,0.0247535897565314
"EHBP1",866.942900815821,1.17999009535328,0.331878268833037,3.5554906909163,0.00037727430377667,0.0247535897565314
"NRG4",53.2261664302806,1.72483556893366,0.485856269688664,3.55009429031128,0.000385093196621681,0.0251445393504282
"NPAS2",1597.26629298011,1.04543253324623,0.295329783225632,3.53988182914665,0.000400306232387406,0.0259184370968405
"GREB1L",117.890720324179,1.48202378895964,0.41870175133524,3.5395691186709,0.000400780804471712,0.0259184370968405
"FRMD3",71.8248763645397,1.15783175765577,0.327650919327172,3.53373572103312,0.000409730546329856,0.0263710384009254
"ST7-OT4",55.2049476804037,1.79233284648894,0.507979280547012,3.52835817350441,0.000418145950811872,0.0267105936664643
"PTAR1",250.849448663871,0.827847852215652,0.23474401936479,3.5265982684278,0.000420934925344546,0.0267105936664643
"SLC14A1",831.553146253319,-1.0222517457025,0.289837577412638,-3.52698140395762,0.000420326283791054,0.0267105936664643
"DDX43",290.325347080173,0.860579074678099,0.244742520155773,3.51626302667129,0.000437667164519776,0.0273866175724504
"NDUFAF3",607.516958473888,-0.945201686675398,0.268726686862748,-3.51733464848677,0.000435903840536638,0.0273866175724504
"RPS19",6044.46295662034,-1.35920799740464,0.386452260900396,-3.51714334453063,0.000436218138800797,0.0273866175724504
"SNX3",821.003739785313,-0.726303647877872,0.20722049747299,-3.50497975217216,0.000456642010842898,0.0276770108455274
"PCDH9-AS2",26.708509398416,1.83379477898858,0.522485514324264,3.5097523830115,0.000448524171906308,0.0276770108455274
"GCHFR",52.12381822587,-1.6419312696684,0.468265610940855,-3.50641010423418,0.000454194829144767,0.0276770108455274
"PPP1R11",532.457725229375,-0.988848310821852,0.282074771965749,-3.50562478143888,0.00045553691447413,0.0276770108455274
"SETD2",823.081648766888,1.16215598701013,0.331524857098771,3.50548672935221,0.000455773222089639,0.0276770108455274
"ANKIB1",351.491299536252,1.11629539162956,0.317919657945287,3.51124997694124,0.000446004785227131,0.0276770108455274
"CEP85L",174.876565918145,1.34206309804539,0.382647761501413,3.50730680555788,0.00045266691462184,0.0276770108455274
"TAMM41",455.52368848535,1.03117237054785,0.294419221197683,3.50239487202328,0.000461095704636601,0.0278221854636978
"GUSBP2",65.9443154682091,1.63617773718498,0.467431207262308,3.50036050602588,0.000464629340139753,0.0279108007170173
"MIR4713HG",109.994874239611,1.59006844147706,0.454592511208358,3.49778846389369,0.000469133070792274,0.0280566486054353
"SMYD3",1181.60461616808,1.22310754535395,0.350046156868457,3.49413219186857,0.000475605457480687,0.0283184289132554
"SLC1A1",94.9496028108417,1.22588840713874,0.351390517466709,3.48867811225123,0.000485415304803877,0.0284439591284784
"ARMCX4",75.3626222641373,1.57992531096731,0.453095769496438,3.48695665978785,0.000488550522573706,0.0284439591284784
"LOC100129940",548.798228038803,2.53162574925673,0.725979384913203,3.48718682908525,0.000488130232809004,0.0284439591284784
"RPS23",20863.7627235546,-1.04802544576098,0.30046878687413,-3.48796777417022,0.000486706736482341,0.0284439591284784
"NR4A2",167.627018570589,-1.2637999430583,0.362021228684117,-3.49095534439234,0.000481296690900806,0.0284439591284784
"AKR1C3",216.19416865893,-1.34293150533898,0.385238040939919,-3.48597844092042,0.000490340520637427,0.0284439591284784
"DUSP2",759.490345279489,-1.35747264058492,0.389744997962146,-3.48297642736333,0.000495872025274158,0.0286419072376305
"LURAP1L-AS1",122.845664701854,1.54066807787732,0.442819130601842,3.479226554154,0.000502863270431378,0.0289173923230039
"MAGI1-IT1",153.752303092397,2.98700216713214,0.858794839288225,3.47813241356665,0.000504920434169053,0.0289173923230039
"S1PR3",89.3662523684442,-1.40580016988448,0.404426937560541,-3.47603000523188,0.000508895346187534,0.028925892678412
